"Match ID","Series","League","Start Date/Time","Match Length","Duration (secs)","Kills Score","","Winner","Radiant Team","Radiant Players","Dire Team","Dire Players"
"3959221819","","9870","18 Jun 2018 06:07","58:09","3489","27-19","27,19","Radiant","iG.Vitality","Meracle, super, @dogf1ghts, InJuly, HAlf","LGD.Forever Young","Super, Inflame, ah fu , Monet, Yao (smurf)"
"3959185444","226337","9870","18 Jun 2018 05:25","24:57","1497","14-15","14,15","Dire","CDEC","marlin``, , Unknown, Unknown, ASD","KEEN GAMING","yoona, 天命, --, MEVIUS, dark"
"3959161923","226333","9870","18 Jun 2018 04:59","43:23","2603","23-15","23,15","Radiant","Team Serenity","XCJ, Zyd, Pyw, XinQ, zhizhizhi","INVICTUS GAMING","Xxs, Agressif, Q, Srf, BoBoKa"
"3943981461","224982","9943","10 Jun 2018 12:21","34:21","2061","30-20","30,20","Radiant","Team Liquid","MinD_ContRoL, MATUMBAMAN, KuroKy, GH, Miracle","Virtus.pro","9pasha, No[o]ne, RAMZES666, Solo, RodjER"
"3943893584","224982","9943","10 Jun 2018 11:32","23:58","1438","30-5","30,5","Radiant","Virtus.pro","9pasha, No[o]ne, RAMZES666, Solo, RodjER","Team Liquid","MinD_ContRoL, MATUMBAMAN, KuroKy, GH, Miracle"
"3943790375","224982","9943","10 Jun 2018 10:36","28:23","1703","24-33","24,33","Dire","Virtus.pro","9pasha, No[o]ne, RAMZES666, Solo, RodjER","Team Liquid","MinD_ContRoL, MATUMBAMAN, KuroKy, GH, Miracle"
"3943673479","224982","9943","10 Jun 2018 09:33","36:37","2197","21-43","21,43","Dire","Team Liquid","MinD_ContRoL, MATUMBAMAN, KuroKy, GH, Miracle","Virtus.pro","9pasha, No[o]ne, RAMZES666, Solo, RodjER"
"3943547236","224982","9943","10 Jun 2018 08:22","41:58","2518","28-34","28,34","Dire","Virtus.pro","9pasha, No[o]ne, RAMZES666, Solo, RodjER","Team Liquid","MinD_ContRoL, MATUMBAMAN, KuroKy, GH, Miracle"
"3943365614","224952","9943","10 Jun 2018 06:27","34:33","2073","16-48","16,48","Dire","PSG.LGD","xNova, Chalice, fy, Somnus丶M, Ame","Virtus.pro","9pasha, No[o]ne, RAMZES666, Solo, RodjER"
"3943262880","224952","9943","10 Jun 2018 04:57","1:03:55","3835","42-50","42,50","Dire","PSG.LGD","xNova, Chalice, fy, Somnus丶M, Ame","Virtus.pro","9pasha, No[o]ne, RAMZES666, Solo, RodjER"
